City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
0,Solnechnyy,RU,50.7214,136.6319,2.05,96,97,4.97,overcast clouds,2022-01-12 00:09:30
1,Kapaa,US,22.0752,-159.319,78.78,69,0,1.99,clear sky,2022-01-12 00:08:01
2,Ushuaia,AR,-54.8,-68.3,47.82,76,90,2.48,overcast clouds,2022-01-12 00:07:50
3,Prince Rupert,CA,54.3161,-130.3201,42.89,87,100,8.05,overcast clouds,2022-01-12 00:08:23
4,Mataura,NZ,-46.1927,168.8643,54.48,91,100,10.22,overcast clouds,2022-01-12 00:07:52
5,Puerto Ayora,EC,-0.7393,-90.3518,73.83,85,40,8.9,scattered clouds,2022-01-12 00:08:24
6,Broken Hill,AU,-31.95,141.4333,93.56,32,0,14.12,clear sky,2022-01-12 00:08:14
7,Mar Del Plata,AR,-38.0023,-57.5575,71.1,79,0,1.99,clear sky,2022-01-12 00:06:14
8,Rikitea,PF,-23.1203,-134.9692,77.52,74,4,18.45,clear sky,2022-01-12 00:07:54
9,Busselton,AU,-33.65,115.3333,74.05,48,74,9.89,broken clouds,2022-01-12 00:08:01
10,Jhargram,IN,22.45,86.9833,62.96,85,100,1.45,overcast clouds,2022-01-12 00:13:51
11,Sinnamary,GF,5.3833,-52.95,76.71,84,63,5.5,broken clouds,2022-01-12 00:13:52
12,Atherton,GB,53.5237,-2.4935,41.72,92,7,1.01,clear sky,2022-01-12 00:13:52
13,San Angelo,US,31.4638,-100.437,46.33,68,0,3.0,clear sky,2022-01-12 00:09:42
14,Hilo,US,19.7297,-155.09,80.33,71,0,10.36,clear sky,2022-01-12 00:05:12
15,Enumclaw,US,47.2043,-121.9915,52.03,95,100,4.56,light rain,2022-01-12 00:13:53
16,Tasiilaq,GL,65.6145,-37.6368,28.56,95,100,9.95,light snow,2022-01-12 00:09:41
17,Kibala,TD,9.1104,18.3463,77.04,25,24,7.02,few clouds,2022-01-12 00:13:53
18,Baracoa,CU,20.3467,-74.4958,74.41,83,74,7.02,broken clouds,2022-01-12 00:13:53
19,Casa Nova,BR,-9.4167,-41.1333,75.18,68,67,5.28,broken clouds,2022-01-12 00:13:54
20,Tuatapere,NZ,-46.1333,167.6833,54.82,85,98,15.52,overcast clouds,2022-01-12 00:08:45
21,Saint-Philippe,RE,-21.3585,55.7679,76.59,81,100,14.38,light rain,2022-01-12 00:08:55
22,Bathsheba,BB,13.2167,-59.5167,76.78,69,24,12.44,few clouds,2022-01-12 00:08:48
23,San Cristobal,VE,7.7669,-72.225,71.78,81,99,2.26,overcast clouds,2022-01-12 00:10:29
24,Mizdah,LY,31.4451,12.9801,43.27,77,6,13.94,clear sky,2022-01-12 00:13:55
25,Sao Filipe,CV,14.8961,-24.4956,72.9,65,61,1.28,broken clouds,2022-01-12 00:08:52
26,Rio Gallegos,AR,-51.6226,-69.2181,55.62,42,100,18.81,overcast clouds,2022-01-12 00:11:33
27,Provideniya,RU,64.3833,-173.3,14.11,67,47,24.61,scattered clouds,2022-01-12 00:10:20
28,Lebu,CL,-37.6167,-73.65,60.53,80,0,9.37,clear sky,2022-01-12 00:08:53
29,Norman Wells,CA,65.282,-126.8329,-6.23,91,100,7.96,overcast clouds,2022-01-12 00:07:56
30,Sembe,CG,1.6481,14.5806,74.39,57,91,2.44,overcast clouds,2022-01-12 00:13:55
31,Alofi,NU,-19.0595,-169.9187,81.3,77,99,10.96,overcast clouds,2022-01-12 00:08:47
32,Pahrump,US,36.2083,-115.9839,61.05,19,50,1.01,scattered clouds,2022-01-12 00:13:56
33,Tuktoyaktuk,CA,69.4541,-133.0374,-12.59,89,100,5.5,overcast clouds,2022-01-12 00:08:32
34,Albany,US,42.6001,-73.9662,6.8,62,4,2.8,clear sky,2022-01-12 00:07:49
35,Kodiak,US,57.79,-152.4072,35.11,100,100,3.44,fog,2022-01-12 00:08:17
36,Barrow,US,71.2906,-156.7887,-2.18,78,100,10.36,haze,2022-01-12 00:08:17
37,Inirida,CO,3.8653,-67.9239,80.51,54,65,0.2,broken clouds,2022-01-12 00:13:57
38,Cape Town,ZA,-33.9258,18.4232,64.35,77,93,4.0,overcast clouds,2022-01-12 00:07:57
39,Zelezny Brod,CZ,50.6427,15.2541,25.02,93,17,0.45,few clouds,2022-01-12 00:13:57
40,Jinchang,CN,38.4953,102.1739,18.68,65,100,6.46,overcast clouds,2022-01-12 00:13:57
41,Jamestown,US,42.097,-79.2353,17.71,74,0,5.99,clear sky,2022-01-12 00:07:21
42,Port Elizabeth,ZA,-33.918,25.5701,62.1,85,85,7.0,overcast clouds,2022-01-12 00:08:37
43,Iqaluit,CA,63.7506,-68.5145,-29.31,73,89,3.36,overcast clouds,2022-01-12 00:05:19
44,New Norfolk,AU,-42.7826,147.0587,64.65,54,28,4.07,scattered clouds,2022-01-12 00:08:12
45,Kahului,US,20.8947,-156.47,78.96,73,40,16.11,scattered clouds,2022-01-12 00:07:53
46,Vila,PT,42.0304,-8.1588,43.32,92,4,4.72,clear sky,2022-01-12 00:13:58
47,Saint-Leu,RE,-21.15,55.2833,76.06,77,100,2.95,overcast clouds,2022-01-12 00:13:59
48,Dong Xoai,VN,11.5333,106.9167,65.86,83,32,3.22,scattered clouds,2022-01-12 00:13:59
49,Gonbad-E Qabus,IR,37.25,55.1672,49.5,59,95,1.97,overcast clouds,2022-01-12 00:13:59
50,Morant Bay,JM,17.8815,-76.4093,73.65,83,19,6.91,few clouds,2022-01-12 00:14:00
51,Richards Bay,ZA,-28.783,32.0377,74.23,93,100,11.79,light rain,2022-01-12 00:14:00
52,Melito Di Porto Salvo,IT,37.9222,15.7714,55.9,66,75,6.91,broken clouds,2022-01-12 00:14:01
53,Emerald,AU,-23.5333,148.1667,83.34,50,3,9.01,clear sky,2022-01-12 00:14:01
54,Port-Gentil,GA,-0.7193,8.7815,79.47,82,99,8.72,light rain,2022-01-12 00:14:01
55,Atuona,PF,-9.8,-139.0333,78.22,74,30,11.27,scattered clouds,2022-01-12 00:08:02
56,Khatanga,RU,71.9667,102.5,-29.9,100,100,5.08,overcast clouds,2022-01-12 00:08:49
57,Ler,SS,8.3018,30.1418,80.53,32,57,4.85,broken clouds,2022-01-12 00:14:02
58,Qaanaaq,GL,77.484,-69.3632,-0.02,78,100,4.94,overcast clouds,2022-01-12 00:08:36
59,Avarua,CK,-21.2078,-159.775,78.85,89,75,11.5,light rain,2022-01-12 00:07:49
60,Punta Arenas,CL,-53.15,-70.9167,48.31,76,100,8.05,light rain,2022-01-12 00:07:13
61,Fairbanks,US,64.8378,-147.7164,8.1,81,90,0.0,light snow,2022-01-12 00:12:00
62,Biloela,AU,-24.4167,150.5,82.98,50,5,7.47,clear sky,2022-01-12 00:14:03
63,Severo-Kurilsk,RU,50.6789,156.125,29.28,84,79,10.02,broken clouds,2022-01-12 00:07:59
64,Fortuna,US,40.5982,-124.1573,58.93,81,0,1.01,clear sky,2022-01-12 00:08:18
65,Yellowknife,CA,62.456,-114.3525,-29.7,78,99,4.0,overcast clouds,2022-01-12 00:06:44
66,Pochutla,MX,15.7432,-96.4661,82.22,61,88,6.29,overcast clouds,2022-01-12 00:11:17
67,Vaini,TO,-21.2,-175.2,84.36,94,75,9.22,broken clouds,2022-01-12 00:08:08
68,Klaksvik,FO,62.2266,-6.589,49.12,88,100,38.01,overcast clouds,2022-01-12 00:09:07
69,Askarovo,RU,53.3372,58.5089,-1.25,85,75,8.95,mist,2022-01-12 00:14:03
70,Lazaro Cardenas,MX,17.9583,-102.2,80.64,60,49,4.21,scattered clouds,2022-01-12 00:10:49
71,Mudgee,AU,-32.5943,149.5871,77.05,65,40,8.05,scattered clouds,2022-01-12 00:14:04
72,Buchanan,LR,5.8808,-10.0467,80.26,82,62,10.42,broken clouds,2022-01-12 00:14:04
73,Vernon,CA,50.2581,-119.2691,40.14,75,100,8.01,overcast clouds,2022-01-12 00:10:19
74,Te Anau,NZ,-45.4167,167.7167,60.13,53,90,5.53,overcast clouds,2022-01-12 00:14:05
