City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Mataura,-46.1927,168.8643,68.49,53,100,0.65,NZ,2022-01-02 21:36:47
1,Punta Arenas,-53.15,-70.9167,48.31,49,40,33.38,CL,2022-01-02 21:37:18
2,Busselton,-33.65,115.3333,58.05,87,64,11.79,AU,2022-01-02 21:36:49
3,Rikitea,-23.1203,-134.9692,77.29,72,19,8.68,PF,2022-01-02 21:34:19
4,Bluff,-46.6,168.3333,68.81,74,100,1.12,NZ,2022-01-02 21:36:53
5,Bredasdorp,-34.5322,20.0403,63.28,77,100,2.3,ZA,2022-01-02 21:34:12
6,Mount Isa,-20.7333,139.5,83.97,70,100,9.22,AU,2022-01-02 21:32:29
7,Butaritari,3.0707,172.7902,80.82,66,100,10.54,KI,2022-01-02 21:37:17
8,Khatanga,71.9667,102.5,-51.52,99,63,3.87,RU,2022-01-02 21:38:45
9,Ushuaia,-54.8,-68.3,40.66,70,75,33.38,AR,2022-01-02 21:33:36
10,Santa Isabel Do Rio Negro,-0.4139,-65.0192,81.54,72,87,2.95,BR,2022-01-02 21:38:46
11,Kapaa,22.0752,-159.319,77.47,77,20,3.0,US,2022-01-02 21:38:46
12,Svetlogorsk,52.6333,29.7333,27.3,95,100,15.46,BY,2022-01-02 21:38:47
13,East London,-33.0153,27.9116,66.51,76,100,4.63,ZA,2022-01-02 21:36:53
14,Ribeira Grande,38.5167,-28.7,61.2,77,75,10.36,PT,2022-01-02 21:38:47
15,Nouadhibou,20.931,-17.0347,75.18,29,0,16.11,MR,2022-01-02 21:38:47
16,Awjilah,29.1081,21.2869,57.92,69,0,6.53,LY,2022-01-02 21:38:48
17,Castelnaudary,43.3183,1.9545,53.94,91,95,1.01,FR,2022-01-02 21:38:48
18,Rivadavia,-33.1905,-68.4608,95.47,9,42,11.3,AR,2022-01-02 21:38:48
19,Jamestown,42.097,-79.2353,29.52,70,90,5.01,US,2022-01-02 21:35:14
20,Odweyne,9.4092,45.064,68.45,50,0,4.32,SO,2022-01-02 21:38:49
21,Atuona,-9.8,-139.0333,78.6,71,16,19.42,PF,2022-01-02 21:37:21
22,Carnarvon,-24.8667,113.6333,73.47,83,2,12.66,AU,2022-01-02 21:38:49
23,Port-Gentil,-0.7193,8.7815,80.56,89,75,8.05,GA,2022-01-02 21:38:49
24,Bitung,1.4451,125.1824,74.25,85,100,6.78,ID,2022-01-02 21:38:50
25,Hobart,-42.8794,147.3294,59.02,80,75,6.91,AU,2022-01-02 21:38:50
26,Port Elizabeth,-33.918,25.5701,63.1,82,20,2.3,ZA,2022-01-02 21:38:50
27,Hermanus,-34.4187,19.2345,63.81,76,81,6.73,ZA,2022-01-02 21:38:51
28,Mikuni,36.2171,136.1519,33.71,86,100,7.0,JP,2022-01-02 21:38:51
29,Huescar,37.811,-2.5412,47.12,42,92,1.21,ES,2022-01-02 21:38:51
30,Eirunepe,-6.6603,-69.8736,80.47,91,100,2.89,BR,2022-01-02 21:38:52
31,Vaini,-21.2,-175.2,78.96,94,75,12.66,TO,2022-01-02 21:36:51
32,Flinders,-34.5833,150.8552,78.39,78,22,4.0,AU,2022-01-02 21:38:52
33,Torbay,47.6666,-52.7314,39.27,95,90,28.77,CA,2022-01-02 21:38:52
34,Castro,-24.7911,-50.0119,71.46,74,74,4.65,BR,2022-01-02 21:37:34
35,Maumere,-8.6199,122.2111,79.63,82,99,1.5,ID,2022-01-02 21:38:53
36,Narsaq,60.9167,-46.05,23.22,89,100,7.85,GL,2022-01-02 21:37:20
37,Cabo San Lucas,22.8909,-109.9124,79.05,67,1,5.01,MX,2022-01-02 21:33:56
38,Pankrushikha,53.8319,80.3406,8.31,91,98,8.28,RU,2022-01-02 21:38:54
39,Dikson,73.5069,80.5464,-38.88,95,27,10.87,RU,2022-01-02 21:38:54
40,Menongue,-14.6585,17.691,62.94,93,52,3.49,AO,2022-01-02 21:38:54
41,Tutoia,-2.7619,-42.2744,82.38,79,94,12.77,BR,2022-01-02 21:38:55
42,Ahipara,-35.1667,173.1667,72.43,56,100,7.85,NZ,2022-01-02 21:38:55
43,Mahebourg,-20.4081,57.7,74.25,83,40,6.91,MU,2022-01-02 21:38:56
44,La Tuque,47.4334,-72.7824,7.05,66,100,4.61,CA,2022-01-02 21:35:50
45,Garowe,8.4054,48.4845,68.04,78,3,7.92,SO,2022-01-02 21:38:56
46,Pisco,-13.7,-76.2167,75.25,69,0,9.22,PE,2022-01-02 21:38:57
47,Cape Town,-33.9258,18.4232,64.11,78,0,3.0,ZA,2022-01-02 21:38:57
48,Impfondo,1.6381,18.0667,74.55,57,92,1.28,CG,2022-01-02 21:39:57
49,Tuktoyaktuk,69.4541,-133.0374,-22.0,69,75,11.5,CA,2022-01-02 21:36:49
50,Montbrison,45.6667,4.0833,43.14,79,100,4.05,FR,2022-01-02 21:39:58
51,Campina Verde,-19.5356,-49.4864,73.78,83,25,2.93,BR,2022-01-02 21:39:58
52,Talnakh,69.4865,88.3972,-35.79,94,15,3.89,RU,2022-01-02 21:39:58
53,Mwene-Ditu,-7.0,23.45,66.34,94,100,2.77,CD,2022-01-02 21:39:59
54,Nador,35.174,-2.9287,50.25,93,20,4.61,MA,2022-01-02 21:39:59
55,Port Alfred,-33.5906,26.891,64.47,77,82,3.27,ZA,2022-01-02 21:40:00
56,Pyaozerskiy,65.8333,31.1667,-9.4,100,96,0.22,RU,2022-01-02 21:40:00
57,Dulce Nombre De Culmi,15.1,-85.5333,91.63,48,61,5.5,HN,2022-01-02 21:40:00
58,Ambon,-3.6954,128.1814,75.34,94,20,5.75,ID,2022-01-02 21:40:01
59,Kodiak,57.79,-152.4072,16.25,73,98,32.37,US,2022-01-02 21:40:01
60,Ust-Maya,60.4167,134.5333,-46.86,100,100,1.05,RU,2022-01-02 21:40:02
61,Pevek,69.7008,170.3133,22.51,81,100,17.13,RU,2022-01-02 21:40:02
62,Inhambane,-23.865,35.3833,77.07,81,89,5.57,MZ,2022-01-02 21:40:02
63,Pedernales,18.0384,-71.744,79.57,60,1,11.86,DO,2022-01-02 21:40:03
64,Axim,4.8699,-2.2405,79.68,81,36,6.67,GH,2022-01-02 21:40:03
